z,n,positronEmission(keV)
11,21,-19380.9978
12,21,-19839.237800000003
13,21,-12342.9406
14,21,-15189.7482
15,21,-8836.9172
16,21,-8922.4113
17,21,-3958.8978
18,21,-4463.9752
19,21,482.4053
20,21,-600.3571999999999
21,21,5404.2926
22,21,5850.5613
23,21,12718.509300000002
24,21,11349.6422
25,21,16031.8248
26,21,14415.0022
27,21,18716.0022
28,21,17287.0022
11,22,-23371.9978
12,22,-24378.7881
13,22,-16885.5134
14,22,-19408.507400000002
15,22,-13446.498099999999
16,22,-13261.649
17,22,-7659.5441
18,22,-8504.0794
19,22,-3514.0370000000003
20,22,-4547.2604
21,22,1198.7248999999997
22,22,-754.549
23,22,6101.8269
24,22,6582.3286
25,22,10974.718900000002
26,22,10266.0707
27,22,13949.0022
28,22,13108.0022
11,23,-22182.9978
12,23,-23213.9978
13,23,-15451.7729
14,23,-17403.0743
15,23,-11473.2634
16,23,-11410.033899999999
17,23,-5741.9665
18,23,-6782.3158
19,23,-1621.3505
20,23,-2855.4761
21,23,2630.697
22,23,1040.0573
23,23,6030.3745
24,23,6421.9791
25,23,12502.671400000001
26,23,11847.197900000001
27,23,15865.0588
28,23,14670.0022
29,23,19658.0022
12,24,-26544.9978
13,24,-19423.911
14,24,-21661.9978
15,24,-16116.9852
16,24,-15720.658099999999
17,24,-9320.6094
18,24,-10612.905999999999
19,24,-5587.5814
20,24,-6709.2297
21,24,-1282.0888
22,24,-3388.6238000000003
23,24,1908.5443999999998
24,24,634.6940000000001
25,24,6690.4286999999995
26,24,7128.4289
27,24,11825.0411
28,24,10762.1252
29,24,15469.0022
30,24,14516.0022
12,25,-25944.9978
13,25,-18625.9978
14,25,-20190.9978
15,25,-14828.0631
16,25,-15050.8103
17,25,-8216.0199
18,25,-8872.297999999999
19,25,-4130.2353
20,25,-5218.5846
21,25,355.9687
22,25,-1622.7672
23,25,2992.9489
24,25,1607.8069
25,25,6612.4798
26,25,7032.0422
27,25,12966.118900000001
28,25,12006.550700000002
29,25,17016.0022
30,25,16344.0022
31,25,20528.0022
12,26,-28852.9978
13,26,-22307.9978
14,26,-24175.9978
15,26,-19201.9978
16,26,-19751.5877
17,26,-12986.047799999998
18,26,-13216.284699999998
19,26,-7866.84
20,26,-8747.678
21,26,-3014.1748
22,26,-5010.8663
23,26,-420.1423
24,26,-2060.1218
25,26,2185.4915
26,26,1357.2934
27,26,7266.1095
28,26,7709.758000000001
29,26,12678.5607
30,26,12218.0022
31,26,16118.0022
32,26,14938.0022
12,27,-28222.9978
13,27,-21750.9978
14,27,-22411.9978
15,27,-16769.9978
16,27,-18257.9978
17,27,-12296.7351
18,27,-12530.254599999998
19,27,-6664.6724
20,27,-7654.6815
21,27,-1301.2133
22,27,-3023.563
23,27,1186.6295999999998
24,27,-269.60709999999995
25,27,3686.1236
26,27,2720.8686
27,27,7222.55
28,27,7672.0372
29,27,14255.918500000002
30,27,13737.0022
31,27,17737.0022
32,27,16368.0022
33,27,20868.0022
13,28,-24531.9978
14,28,-26171.9978
15,28,-20310.9978
16,28,-21335.9978
17,28,-15943.9978
18,28,-17058.304
19,28,-11366.7056
20,28,-12962.3835
21,28,-6284.4423
22,28,-7916.7448
23,28,-3492.138
24,28,-4998.474099999999
25,28,-424.72989999999993
26,28,-1718.3665999999998
27,28,2429.4276
28,28,1110.8710999999998
29,28,7752.948799999999
30,28,8346.981800000001
31,28,12434.0022
32,28,11038.0022
33,28,15568.0022
14,29,-24961.9978
15,29,-19221.9978
16,29,-20322.9978
17,29,-15396.9978
18,29,-16808.9978
19,29,-10951.5528
20,29,-12710.5047
21,29,-5969.8881
22,29,-7504.61
23,29,-2987.3318
24,29,-4457.9403999999995
25,29,355.13469999999995
26,29,-790.8774
27,29,3544.6476999999995
28,29,2239.6992
29,29,7539.022599999999
30,29,8120.7782
31,29,13562.0022
32,29,12323.0022
33,29,16698.0022
34,29,15628.0022
15,30,-22151.9978
16,30,-23221.9978
17,30,-17802.9978
18,30,-19096.9978
19,30,-13572.9978
20,30,-14883.375199999999
21,30,-7940.041
22,30,-9976.134999999998
23,30,-5992.2397
24,30,-8059.1096
25,30,-3624.2161
26,30,-4717.4951
27,30,-185.63890000000004
28,30,-1403.5767
29,30,3776.3808
30,30,3148.7943999999998
31,30,8192.246000000001
32,30,8825.0022
33,30,12399.0022
34,30,11651.0022
35,30,15507.0022
16,31,-22631.9978
17,31,-17691.9978
18,31,-18821.9978
19,31,-13519.9978
20,31,-14838.850699999999
21,31,-7279.2867
22,31,-9133.8763
23,31,-5176.4526000000005
24,31,-7007.1855000000005
25,31,-2648.5362
26,31,-3717.7353000000003
27,31,1285.9807
28,31,51.007200000000125
29,31,5105.9832
30,31,4613.1587
31,31,8159.0688
32,31,8603.8809
33,31,13761.0022
34,31,12895.0022
35,31,17069.0022
36,31,15956.0022
17,32,-20673.9978
18,32,-21951.9978
19,32,-17047.9978
20,32,-18150.640900000002
21,32,-10403.8449
22,32,-12327.876699999999
23,32,-8314.6651
24,32,-10123.7248
25,32,-5983.2924
26,32,-7349.7005
27,32,-2586.8782
28,32,-3844.8036
29,32,1215.9685
30,32,597.457
31,32,4644.3315999999995
32,32,3495.3259
33,32,8519.1692
34,32,9343.0022
35,32,13029.0022
36,32,12143.0022
18,33,-21801.9978
19,33,-16779.9978
20,33,-18113.9831
21,33,-10299.344099999998
22,33,-12012.3586
23,33,-7782.4029
24,33,-9111.9192
25,33,-4857.7585
26,33,-6161.6268
27,33,-1259.2611
28,33,-2345.8482
29,33,2936.8986999999997
30,33,2344.4413999999997
31,33,6149.1934
32,33,5157.2653
33,33,8559.959200000001
34,33,8984.9403
35,33,14376.0022
36,33,13097.0022
18,34,-24760.9978
19,34,-20107.9978
20,34,-21031.9978
21,34,-13213.7307
22,34,-14929.1448
23,34,-11055.212599999999
24,34,-12583.2218
25,34,-8431.3955
26,34,-9467.2261
27,34,-4999.6737
28,34,-6344.0382
29,34,-1088.9746
30,34,-1601.5974
31,34,2232.5402
32,34,1094.6900999999998
33,34,5064.488
34,34,3683.0807999999997
35,34,9153.2386
36,34,9303.0022
37,34,13015.0022
19,35,-18731.9978
20,35,-20142.9978
21,35,-13027.4558
22,35,-14044.1935
23,35,-10534.912999999999
24,35,-11527.3115
25,35,-7081.4435
26,35,-8200.370799999999
27,35,-3568.3405000000002
28,35,-4683.3363
29,35,652.6178000000001
30,35,329.6549000000001
31,35,4153.5022
32,35,3183.4402
33,35,7062.2737
34,35,5655.4694
35,35,9482.2749
36,35,9153.217700000001
37,35,14589.0022
38,35,13039.0022
20,36,-22512.9978
21,36,-15841.9978
22,36,-16460.0973
23,36,-12752.9978
24,36,-14843.096399999999
25,36,-10267.625499999998
26,36,-11376.0898
27,36,-7237.9216
28,36,-8328.589899999999
29,36,-3159.8786
30,36,-3662.9374000000003
31,36,-20.77769999999998
32,36,-914.7423
33,36,2966.4948999999997
34,36,1382.0758999999998
35,36,5622.0905
36,36,4099.1705
37,36,9518.149000000001
38,36,10067.0022
39,36,13777.0022
20,37,-21710.9978
21,37,-14970.9978
22,37,-16071.9978
23,37,-12009.701799999999
24,37,-13341.378499999999
25,37,-8693.350999999999
26,37,-9770.566299999999
27,37,-5844.8876
28,37,-6962.5889
29,37,-1273.9936
30,37,-1582.8204
31,37,1899.1021999999998
32,37,1205.1477
33,37,5206.0652
34,37,3724.7442
35,37,7784.440599999999
36,37,6072.0309
37,37,9393.8302
38,37,9578.0022
39,37,14976.0022
40,37,13817.0022
20,38,-24482.9978
21,38,-17660.9978
22,38,-18570.9978
23,38,-14828.9978
24,38,-16661.4456
25,38,-11730.758899999999
26,38,-13002.509499999998
27,38,-8989.3014
28,38,-10619.75
29,38,-4598.8632
30,38,-5462.1093
31,38,-1931.9112
32,38,-2673.8839
33,38,991.4022000000001
34,38,-660.3784
35,38,3559.6116999999995
36,38,1934.3195
37,38,6082.9321
38,38,5209.4454
39,38,10343.0022
40,38,10301.0022
41,38,14098.0022
20,39,-23961.9978
21,39,-16571.9978
22,39,-17891.9978
23,39,-14034.9978
24,39,-15460.1564
25,39,-10371.06
26,39,-11272.5554
27,39,-7362.6922
28,39,-9442.902499999998
29,39,-3125.2183
30,39,-3703.6832
31,39,-367.3999
32,39,-789.528
33,39,3334.1040999999996
34,39,1703.3626
35,39,5903.0514
36,39,3761.3902
37,39,7512.6194000000005
38,39,6005.0588
39,39,9979.0022
40,39,10011.0022
41,39,15317.0022
42,39,13878.0022
21,40,-19531.9978
22,40,-20531.9978
23,40,-16901.9978
24,40,-18341.9978
25,40,-13678.9978
26,40,-14339.452099999999
27,40,-10635.3656
28,40,-12843.229599999999
29,40,-6779.5628
30,40,-7610.3653
31,40,-3832.3383
32,40,-5019.6241
33,40,-677.2219
34,40,-2375.1445
35,40,2040.4715999999999
36,40,253.3746
37,40,4316.9538
38,40,2739.4800999999998
39,40,6654.7312999999995
40,40,5366.0022
41,40,10142.0022
42,40,10418.0022
43,40,13998.0022
22,41,-19951.9978
23,41,-15861.9978
24,41,-17221.9978
25,41,-12631.9978
26,41,-13149.9978
27,41,-8767.9978
28,41,-10615.206199999999
29,41,-4784.5100999999995
30,41,-5639.6495
31,41,-1464.787
32,41,-2620.1867
33,41,1540.3892999999998
34,41,-157.28390000000002
35,41,3940.8832
36,41,2043.3685
37,41,6220.8582
38,41,4301.1161999999995
39,41,8141.3072
40,41,7166.5025
41,41,10782.0022
42,41,10251.0022
43,41,15448.0022
44,41,14198.0022
23,42,-18341.9978
24,42,-19861.9978
25,42,-15332.9978
26,42,-15998.9978
27,42,-12207.9978
28,42,-13710.902699999999
29,42,-8326.8967
30,42,-9384.4861
31,42,-5127.9307
32,42,-6394.8227
33,42,-2199.2279
34,42,-3982.5734
35,42,342.68140000000005
36,42,-1748.1131
37,42,2617.5135999999998
38,42,842.0112
39,42,4793.2178
40,42,3428.0362999999998
41,42,7276.751499999999
42,42,6002.0022
43,42,10638.0022
44,42,10778.0022
24,43,-18547.9978
25,43,-14251.9978
26,43,-14860.9978
27,43,-10656.9978
28,43,-12058.3031
29,43,-6578.9359
30,43,-7627.9637
31,43,-3314.9035
32,43,-4418.3315
33,43,-100.48329999999999
34,43,-1705.1605
35,43,2551.7858
36,43,603.7800000000001
37,43,4695.9807
38,43,2906.5717
39,43,6923.9672
40,43,5272.0147
41,43,9205.851900000001
42,43,7747.926
43,43,11519.0022
44,43,10938.0022
45,43,16457.0022
25,44,-16751.9978
26,44,-17461.9978
27,44,-13461.9978
28,44,-14947.9978
29,44,-9901.283399999998
30,44,-10772.5055
31,44,-6923.7209
32,44,-7938.2479
33,44,-3725.462
34,44,-5230.9797
35,44,-1172.5994
36,44,-3026.4277
37,44,1217.4975999999997
38,44,-844.2475
39,44,3569.9457
40,44,1450.7493
41,44,5873.5142
42,44,4001.1359
43,44,8172.7678000000005
44,44,6309.0022
45,44,11697.0022
46,44,10902.0022
25,45,-15831.9978
26,45,-16331.9978
27,45,-12071.9978
28,45,-13160.9978
29,45,-8327.9978
30,45,-9110.6945
31,45,-5015.6219
32,45,-6242.5154
33,45,-1976.9092
34,45,-3303.3827
35,45,848.4644999999999
36,45,-741.1460999999999
37,45,3381.9846
38,45,1251.0261
39,45,5733.1433
40,45,3644.9374
41,45,7812.9649
42,45,5967.6779
43,45,9994.253700000001
44,45,8003.434899999999
45,45,12228.0022
46,45,11378.0022
47,45,16227.0022
26,46,-19101.9978
27,46,-15001.9978
28,46,-16181.9978
29,46,-11251.9978
30,46,-12343.394199999999
31,46,-8225.1473
32,46,-9179.9707
33,46,-5130.8992
34,46,-6566.8839
35,46,-2610.0295
36,46,-4115.1163
37,46,-101.99389999999994
38,46,-1912.6036
39,46,2239.1605999999997
40,46,292.07849999999996
41,46,4450.6557999999995
42,46,2463.0043
43,46,6598.0896999999995
44,46,4818.8973
45,46,8648.0022
46,46,7198.0022
47,46,11560.0022
48,46,10940.0022
26,47,-18310.9978
27,47,-13902.9978
28,47,-14701.9978
29,47,-9812.9978
30,47,-10948.3728
31,47,-7242.841100000001
32,47,-8000.822
33,47,-3701.2847
34,47,-4877.7028
35,47,-926.7794
36,47,-1998.92
37,47,1658.373
38,47,42.05319999999995
39,47,4218.0022
40,47,2649.2427
41,47,6435.3209
42,47,4588.8126999999995
43,47,8425.820300000001
44,47,6724.8268
45,47,10280.1177
46,47,9008.0022
47,47,12678.0022
48,47,11828.0022
49,47,16460.0022
27,48,-16882.9978
28,48,-17551.9978
29,48,-12534.9978
30,48,-13715.7658
31,48,-10138.051399999998
