iter	Logloss
111	0.4368832272
112	0.4363480072
113	0.4358454742
114	0.4353664815
115	0.4348256191
116	0.4342312237
117	0.4336198075
118	0.4330636241
119	0.4325753201
120	0.431983561
121	0.4313436726
122	0.431015634
123	0.4307661315
124	0.4304128642
125	0.4300050776
126	0.429654573
127	0.4292540062
128	0.4288112338
129	0.4285619317
130	0.428172173
131	0.4278589666
132	0.427421262
133	0.4270249393
134	0.426559677
135	0.4262460186
136	0.4259089047
137	0.4255122813
138	0.4253239696
139	0.4251353153
140	0.4248829328
141	0.4246105835
142	0.424274127
143	0.4238940092
144	0.4236585461
145	0.4232427216
146	0.4229309804
147	0.422783459
148	0.4224699598
149	0.4221438528
150	0.4218026295
151	0.4215179337
152	0.4212231434
153	0.4209001956
154	0.4205212204
155	0.4201593125
156	0.4199336806
157	0.4195460263
158	0.419376092
159	0.4190716879
160	0.4188145377
161	0.41854892
162	0.4182295692
163	0.4179730432
164	0.4179257031
165	0.4178694243
166	0.4175663724
167	0.4172289757
168	0.4168386522
169	0.4166119175
170	0.4163234036
171	0.416003621
172	0.4157263913
173	0.4156693981
174	0.4153113371
175	0.4151164489
176	0.4148191114
177	0.4146770245
178	0.4144259453
179	0.4142965526
180	0.4139827768
181	0.4137653049
182	0.4134885039
183	0.4132666893
184	0.4130129203
185	0.4128142396
186	0.4125442871
187	0.4123118633
188	0.4122268502
189	0.4119316869
190	0.4116660616
191	0.4114791402
192	0.4112237285
193	0.4111853904
194	0.4110268074
195	0.4108679811
196	0.4106796332
197	0.4105070066
198	0.4103695224
199	0.4102293651
200	0.4101545562
201	0.4099407373
202	0.4097805567
203	0.4095581394
204	0.4093379079
205	0.4091409332
206	0.4090114479
207	0.4090034924
208	0.4088858053
209	0.4086560098
210	0.4084490617
211	0.4082808933
212	0.4081813673
213	0.4079864848
214	0.4078794504
215	0.4077659804
216	0.407664161
217	0.40749868
218	0.4072942651
219	0.4071864273
220	0.4070247064
221	0.406919446
222	0.4067011061
223	0.4065302347
224	0.4063693535
225	0.4062413848
226	0.4060757901
227	0.4058831491
228	0.4056692881
229	0.4055118164
230	0.4053949866
231	0.4053418138
232	0.4051898281
233	0.4051409988
234	0.40502097
235	0.4049613241
236	0.4048493466
237	0.4045725419
238	0.4044190903
239	0.4043234858
240	0.4041810012
241	0.4040938297
242	0.4039501868
243	0.403772977
244	0.4036586218
245	0.4035324611
246	0.4035296106
247	0.4034310752
248	0.4033645525
249	0.4031669172
250	0.4030206299
251	0.4029615715
252	0.4027575135
253	0.4027160354
254	0.4025859118
255	0.402479591
256	0.4023237936
257	0.4022891513
258	0.4021439725
259	0.4019354872
260	0.4018468201
261	0.4016921587
262	0.4016293185
263	0.4015292175
264	0.4013879924
265	0.4013548319
266	0.4012460637
267	0.4012317035
268	0.4011341066
269	0.4010429162
270	0.4008987529
271	0.4007765743
272	0.4005950685
273	0.400400763
274	0.4003093326
275	0.4002308633
276	0.4001074862
277	0.4000528794
278	0.3999421046
279	0.3997162524
280	0.3996297751
281	0.3995340936
282	0.399444936
283	0.3993455549
284	0.3992023045
285	0.399101425
286	0.3990404025
287	0.3990102085
288	0.3989703235
289	0.3988949743
290	0.3988039098
291	0.3987256763
292	0.3986330754
293	0.3985192462
294	0.3985181856
295	0.3983624551
296	0.3983310712
297	0.3982590916
298	0.398224633
299	0.3982174986
300	0.3981810239
301	0.3979571692
302	0.3978504598
303	0.3977266056
304	0.3976393388
305	0.3976191488
306	0.3975221669
307	0.3974519326
308	0.3973925469
309	0.3972654051
310	0.3971974519
311	0.397079953
312	0.3970353788
313	0.3969310713
314	0.3969242773
315	0.3968786949
316	0.3968203188
317	0.3967726655
318	0.3967395921
319	0.3966008942
320	0.396521262
321	0.3963706572
322	0.3962564038
323	0.3962186554
324	0.3960521428
325	0.3960076874
326	0.3958836755
327	0.395814614
328	0.3957648129
329	0.3956730764
330	0.3956262281
331	0.3955416328
332	0.3954959878
333	0.3953638239
334	0.3952424669
335	0.3952116666
336	0.3951656442
337	0.3951151767
338	0.3950711474
339	0.3949518845
340	0.3948419257
341	0.3947281367
342	0.3946340943
343	0.3945520451
344	0.3945435152
345	0.3943783231
346	0.394315037
347	0.3942323133
348	0.3941904217
349	0.3940285623
350	0.3939889606
351	0.3939484459
352	0.3939481825
353	0.3938619655
354	0.3938217452
355	0.3937726441
356	0.3936522931
357	0.3936122198
358	0.3935262784
359	0.3934906482
360	0.3934904141
361	0.3934795597
362	0.3934175604
363	0.3932673356
364	0.393173688
365	0.3930741751
366	0.3930063466
367	0.3929097828
368	0.3928539364
369	0.3926854743
370	0.3925796798
371	0.3925736226
372	0.3925452667
373	0.3925380291
374	0.3924554345
375	0.392370059
376	0.392273853
377	0.3922736342
378	0.3922544316
379	0.3921876314
380	0.392184108
381	0.3921532413
382	0.3920031045
383	0.3919755488
384	0.3919725613
385	0.3919438736
386	0.3919438301
387	0.3919019493
388	0.3918967874
389	0.3917884979
390	0.3917171942
391	0.3915767513
392	0.3915179329
393	0.3914833241
394	0.3913318867
395	0.3913129589
396	0.3913053732
397	0.3912589465
398	0.391170911
399	0.3911481135
400	0.3911379697
401	0.3910537595
402	0.3909700725
403	0.3909130314
404	0.3908766626
405	0.3908655355
406	0.3908059184
407	0.3907981398
408	0.3907506213
409	0.3907409593
410	0.3907078512
411	0.3906089745
412	0.3905090768
413	0.390434911
414	0.3904076066
415	0.3903425614
416	0.3902457603
417	0.3901492818
418	0.3900691293
419	0.3899944641
420	0.3899724361
421	0.3899527242
422	0.3898847745
423	0.389884773
424	0.3898774173
425	0.3898071164
426	0.3897242178
427	0.3896920458
428	0.389637076
429	0.3896212929
430	0.3895823947
431	0.3894240089
432	0.3893492875
433	0.389327515
434	0.3892596478
435	0.3892571065
436	0.3892241654
437	0.389202485
438	0.3891696328
439	0.3891250284
440	0.38902951
441	0.3889838191
442	0.3889311971
443	0.3889077863
444	0.3889077169
445	0.3888183832
446	0.3887259993
447	0.3886969358
448	0.3886478183
449	0.3885992497
450	0.3885447243
451	0.3884955921
452	0.3884185748
453	0.3883295352
454	0.3882325374
455	0.3881702409
456	0.3880869353
457	0.3879824673
458	0.3879701242
459	0.3879632064
460	0.3878091758
461	0.3877553076
462	0.3877553074
463	0.3877299004
464	0.3877252149
465	0.3877085503
466	0.3876948081
467	0.3876375227
468	0.3876299255
469	0.3876006617
470	0.3874374836
471	0.3873723482
472	0.3872901798
473	0.3872192572
474	0.3871120255
475	0.3870497274
476	0.3870495898
477	0.3869726782
478	0.3868613685
479	0.3867874509
480	0.3867321589
481	0.3866784413
482	0.3866399514
483	0.3865240863
484	0.3864828481
485	0.3864826897
486	0.3864477733
487	0.3864370526
488	0.3864369036
489	0.3863197531
490	0.3862155139
491	0.3861983672
492	0.3861896604
493	0.3861852913
494	0.3861296963
495	0.3860691976
496	0.3860688865
497	0.3859484428
498	0.3858969464
499	0.3858720817
500	0.3857154939
501	0.3856695543
502	0.3856335711
503	0.3856181083
504	0.3856148167
505	0.3856134954
506	0.385599633
507	0.3855405287
508	0.3855123401
509	0.3855024137
510	0.3854749064
511	0.3854723631
512	0.3854273161
513	0.3854140819
514	0.385381806
515	0.38530065
516	0.3852305946
517	0.3852144761
518	0.3851812823
519	0.38516504
520	0.3850781105
521	0.385023704
522	0.3849427296
523	0.3848415973
524	0.384774923
525	0.3847314301
526	0.3846829375
527	0.3845522162
528	0.3845087776
529	0.3844878328
530	0.3844819346
531	0.3844379146
532	0.3844139023
533	0.3843676745
534	0.3843588864
535	0.3843454202
536	0.3843225486
537	0.3843225465
538	0.3842250079
539	0.3840553146
540	0.3839944514
541	0.383885264
542	0.3838664735
543	0.3838485177
544	0.3837410058
545	0.3837295665
546	0.3837022183
547	0.3837022175
548	0.383685834
549	0.3836495845
550	0.383571894
551	0.3835458842
552	0.383543067
553	0.3834896924
554	0.3834417392
555	0.3833928227
556	0.3833655041
557	0.3833449347
558	0.3831926582
559	0.3831712386
560	0.3830834895
561	0.3830496121
562	0.383038654
563	0.3829812124
564	0.3828861628
565	0.3828860409
566	0.3828236178
567	0.3827240875
568	0.3826569334
569	0.3825556297
570	0.3825121425
571	0.3825121375
572	0.3825121332
573	0.382473365
574	0.3824537035
575	0.382395018
576	0.3823286748
577	0.3822865492
578	0.3822752911
579	0.3822228538
580	0.3821786587
581	0.3821494922
582	0.3821148652
583	0.3820405916
584	0.3819982321
585	0.3819533307
586	0.3819183615
587	0.3818465178
588	0.3817978329
589	0.3817320739
590	0.3817119373
591	0.3816482383
592	0.3816268716
593	0.3816013451
594	0.3815965131
595	0.3815713117
596	0.3815236362
597	0.3814230793
598	0.3813351276
599	0.3813351122
600	0.3813275289
601	0.3812777996
602	0.381228561
603	0.3812146144
604	0.3811716181
605	0.3811395898
606	0.3810896212
607	0.381085541
608	0.3810803107
609	0.3810483301
610	0.3809972337
611	0.3809800155
612	0.3808840326
613	0.3808741432
614	0.3808316747
615	0.3808277494
616	0.3808048927
617	0.3807560032
618	0.3807072082
619	0.3807027878
620	0.3806596739
621	0.3805496125
622	0.3805046967
623	0.3804343058
624	0.380419433
625	0.380387907
626	0.3803614812
627	0.3803361696
628	0.3803359121
629	0.3802780017
630	0.3802780008
631	0.3801993126
632	0.3801992187
633	0.3801935642
634	0.3801579766
635	0.3801062622
636	0.3800511197
637	0.3799878717
638	0.379987611
639	0.3799497389
640	0.3799001349
641	0.3799001344
642	0.3798830739
643	0.3798474765
644	0.3798127924
645	0.3798127906
646	0.3798127775
647	0.379749488
648	0.3796858359
649	0.3796857196
650	0.3795901169
651	0.3795513795
652	0.3795349688
653	0.3795342902
654	0.3795328967
655	0.3794561474
656	0.3794211051
657	0.3793979566
658	0.379342325
659	0.3793423212
660	0.3793022489
661	0.3792341737
662	0.3791835883
663	0.3791352489
664	0.3791095041
665	0.379109504
666	0.3790880527
667	0.3790658858
668	0.3789973594
669	0.3789854559
670	0.3789635052
671	0.3789582355
672	0.3789031362
673	0.3788801614
674	0.3787935298
675	0.3787649076
676	0.3786990773
677	0.3786956145
678	0.3785808813
679	0.3785038701
680	0.378485185
681	0.3784670348
682	0.3783865626
683	0.3783230133
684	0.3782341528
685	0.3781883698
686	0.3781883634
687	0.3781452768
688	0.3781133612
689	0.378089384
690	0.378059744
691	0.3780216461
692	0.3779706971
693	0.3779607966
694	0.3779546561
695	0.3778700794
696	0.3778700626
697	0.3778540335
698	0.3777938536
699	0.3777264064
700	0.3776455826
701	0.3776099738
702	0.3775495674
703	0.3774708857
704	0.3773733938
705	0.377290123
706	0.3772239518
707	0.37722188
708	0.3771568587
709	0.377095411
710	0.3770362644
711	0.3769775687
712	0.3769032678
713	0.3768760263
714	0.3768593715
715	0.3767757518
716	0.376732753
717	0.3766509654
718	0.3766339418
719	0.3765908936
720	0.3765732618
721	0.3765698262
722	0.3765538681
723	0.376521314
724	0.3764795377
725	0.3763649811
726	0.3763638371
727	0.3763638368
728	0.3762893292
729	0.3762471923
730	0.3761748527
731	0.3761051086
732	0.3760824006
733	0.3759933949
734	0.3759072321
735	0.3759072116
736	0.3759069207
737	0.3758309768
738	0.3758023283
739	0.3757991151
740	0.3757145262
741	0.3757116428
742	0.3756995177
743	0.3756534614
744	0.3755583925
745	0.3755494196
746	0.3755269534
747	0.375436356
748	0.375371156
749	0.3753337564
750	0.3752878224
751	0.3752680181
752	0.375242074
753	0.37517706
754	0.3751749716
755	0.3750282563
756	0.3750055242
757	0.3750035336
758	0.3749698826
759	0.3749497613
760	0.3749151616
761	0.3748350352
762	0.3747552002
763	0.3747154998
764	0.3746994589
765	0.3746751415
766	0.3746616965
767	0.3745939709
768	0.3744538796
769	0.3743908332
770	0.3743715752
771	0.3743285408
772	0.3742351031
773	0.374163393
774	0.3741409869
775	0.3740403679
776	0.3738949804
777	0.3738204248
778	0.3737984085
779	0.3737947776
780	0.3737546576
781	0.3737544477
782	0.3737117489
783	0.3737116049
784	0.3736738471
785	0.3736198497
786	0.3735794157
787	0.373529673
788	0.373491986
789	0.3734787393
790	0.373416846
791	0.3733710559
792	0.373275132
793	0.3732367689
794	0.3732009315
795	0.3731600679
796	0.3730541485
797	0.3730131498
798	0.3729130705
799	0.3728247314
800	0.3727650693
801	0.372725561
802	0.3727236831
803	0.3726601938
804	0.3726268593
805	0.3726103658
806	0.3725661094
807	0.3724673266
808	0.3723961235
809	0.3723249717
810	0.3722920107
811	0.372232892
812	0.3721589556
813	0.3721499381
814	0.3721416095
815	0.3721032764
816	0.3720561921
817	0.3720253273
818	0.3719646527
819	0.3719299185
820	0.371875743
821	0.3718167121
822	0.3717605184
823	0.3716966107
824	0.3716503361
825	0.3716279965
826	0.3715681635
827	0.371524217
828	0.3714951677
829	0.3714766746
830	0.371416779
831	0.3713670997
832	0.3712533627
833	0.371170952
834	0.3711254646
835	0.3710436977
836	0.3709536568
837	0.3709052143
838	0.3708543566
839	0.3707947992
840	0.3707572894
841	0.370710746
842	0.3706676839
843	0.3706442806
844	0.3706273369
845	0.3705840263
846	0.3705562834
847	0.3705018585
848	0.3703822128
849	0.3703059926
850	0.3702479378
851	0.3702027329
852	0.3701685515
853	0.3701128418
854	0.3700569211
855	0.3699697332
856	0.3698927645
857	0.369813685
858	0.3696828531
859	0.3696518978
860	0.3696074441
861	0.3695195156
862	0.3694923454
863	0.3694649084
864	0.3693951301
865	0.3693187946
866	0.3692556986
867	0.3692125076
868	0.369205356
869	0.3691525583
870	0.3690598639
871	0.3689604508
872	0.3689246639
873	0.3688932368
874	0.3688544976
875	0.3688280704
876	0.3687551278
877	0.3686892005
878	0.3686049298
879	0.3685269755
880	0.3684518706
881	0.3684160206
882	0.3683025765
883	0.3683005713
884	0.3682439352
885	0.3682197581
886	0.3681990449
887	0.3680893863
888	0.3680199402
889	0.3678468304
890	0.3676985296
891	0.3676626662
892	0.3676307226
893	0.3675627676
894	0.3675438848
895	0.3674780574
896	0.3674627667
897	0.3673732126
898	0.3673441547
899	0.3672875346
900	0.3671882524
901	0.3671359781
902	0.3670684232
903	0.3670309744
904	0.3670128703
905	0.3669578295
906	0.3668580195
907	0.3668201292
908	0.3667930701
909	0.3667501385
910	0.3666082728
911	0.3665245175
912	0.3664404589
913	0.3663471618
914	0.3662965054
915	0.3662545316
916	0.3661891337
917	0.36610463
918	0.3660496621
919	0.3660207814
920	0.3659035564
921	0.3658413524
922	0.3658236458
923	0.3657816602
924	0.3657762634
925	0.3657335719
926	0.3656561565
927	0.3655641598
928	0.3655451619
929	0.3655212447
930	0.3654680006
931	0.3654484467
932	0.3653981929
933	0.3653700414
934	0.3652697638
935	0.3651303062
936	0.3650810906
937	0.3650171657
938	0.3650086847
939	0.3649246696
940	0.3648849462
941	0.3648324082
942	0.3647471615
943	0.3647001653
944	0.3646665525
945	0.3646303336
946	0.3646251855
947	0.3645548098
948	0.3645279397
949	0.3644462272
950	0.3643967286
951	0.3643694782
952	0.3643381741
953	0.3642703902
954	0.3641686456
955	0.3641205367
956	0.3640970339
957	0.3640275065
958	0.3639880847
959	0.3639287064
960	0.3638452569
961	0.3637508026
962	0.3637370739
963	0.3636372556
964	0.3636060427
965	0.3635062195
966	0.3634607607
967	0.3634198363
968	0.3633871426
969	0.3633459438
970	0.363286794
971	0.3632506227
972	0.3631763533
973	0.3631349289
974	0.363067922
975	0.3629380253
976	0.3628800013
977	0.3628070024
978	0.362790403
979	0.3627587866
980	0.3627141476
981	0.3626781698
982	0.3626403693
983	0.3625733708
984	0.362561867
985	0.3625542378
986	0.362477193
987	0.3624422192
988	0.3624182994
989	0.3623855601
990	0.3622771931
991	0.3621873199
992	0.3620582795
993	0.3619781692
994	0.3618753598
995	0.3617652235
